0;12;15;18;37;41;45;47;51;55;65;70;72;73;75;77;82;87;88;92;97;101;102;106;111
Become a Business Intelligence Specialist;Learning Path;;;Show more options for Become a Business Intelligence Specialist;;;Save;;;24h;;;Updated Mar 2024;;;;;LinkedIn;;;;;;
Business Intelligence for Consultants;Course;;;Show more options for Business Intelligence for Consultants;;;Save;;;29m;;Advanced;;;Nov 2018;;;;LinkedIn;;By: Joshua Rischin;;;
Tableau Beyond the Basics: Growing Your Analytics and Business Intelligence Toolkit;Course;;;Show more options for Tableau Beyond the Basics: Growing Your Analytics and Business Intelligence Toolkit;;;Save;;;2h 22m;;Intermediate;;;Nov 2022;;;;LinkedIn;;By: George Lynch;;;
Deep Dive into Open-Source Intelligence;Course;;;Show more options for Deep Dive into Open-Source Intelligence;;;Save;;;1h 7m;;Intermediate;;;Mar 2021;;;;LinkedIn;;By: Mike Wylie;;;
Getting Started as a Business Analyst;Learning Path;;;Show more options for Getting Started as a Business Analyst;;;Save;;;27h;;;Updated 4 months ago;;;;;LinkedIn;;;;;;
Marketing Strategy: Competitive Intelligence;Course;Popular;;;Show more options for Marketing Strategy: Competitive Intelligence;;;Save;;;48m;;;;Intermediate;Sep 2022;;;;LinkedIn;;;By: Deirdre Breakenridge;
Landing a Business Intelligence Role;Course;;;Show more options for Landing a Business Intelligence Role;;;Save;;;43m;;Beginner;;;Feb 2022;;;;LinkedIn;;By: John David Ariansen and Madecraft;;;
Power BI Essential Training;Course;Popular;;;Show more options for Power BI Essential Training;;;Save;;;3h 49m;;;;Intermediate;Updated Mar 2024;;;;LinkedIn;;;By: Gini von Courter;
Writing a Business Report;Course;Popular;;;Show more options for Writing a Business Report;;;Save;;;1h 57m;;;;Beginner + Intermediate;Nov 2014;;;;LinkedIn;;;By: Judy Steiner-Williams;
Product Marketing: Competitive Intelligence;Course;;;Show more options for Product Marketing: Competitive Intelligence;;;Save;;;49m;;Beginner;;;Nov 2023;;;;LinkedIn;;By: Richard King;;;
Data Visualization: Storytelling;Course;Popular;;;Show more options for Data Visualization: Storytelling;;;Save;;;1h 32m;;;;Intermediate;Updated Apr 2024;;;;LinkedIn;;;By: Bill Shander;
Getting Started with Power BI;Course;Updated;Popular;;;Show more options for Getting Started with Power BI;;;Save;;;;;1h 39m;;Beginner;Updated 2 months ago;;;;;LinkedIn;;By: Gini von Courter
Microsoft Power BI Data Analyst Associate (PL-300) Cert Prep by Microsoft Press;Course;Updated;Popular;;;Show more options for Microsoft Power BI Data Analyst Associate (PL-300) Cert Prep by Microsoft Press;;;Save;;;;;5h 37m;;Intermediate;Updated 3 weeks ago;;;;;LinkedIn;;By: Microsoft Press and Chris Sorensen
Data Strategy;Course;Popular;;;Show more options for Data Strategy;;;Save;;;45m;;;;Advanced;Dec 2021;;;;LinkedIn;;;By: Peter High;
Power BI: Dashboards for Beginners;Course;Popular;;;Show more options for Power BI: Dashboards for Beginners;;;Save;;;33m;;;;Intermediate;3 months ago;;;;LinkedIn;;;By: Joshua Rischin;
Balanced Scorecard and Key Performance Indicators;Course;Popular;;;Show more options for Balanced Scorecard and Key Performance Indicators;;;Save;;;1h 16m;;;;Intermediate;Updated Oct 2021;;;;LinkedIn;;;By: Jim Stice and Earl Stice;
Data Analytics for Business Professionals;Course;Popular;;;Show more options for Data Analytics for Business Professionals;;;Save;;;1h 16m;;;;Intermediate;Jun 2022;;;;LinkedIn;;;By: John Johnson;
Choosing the right chart type;Audio;;;Show more options for Choosing the right chart type;;;Save;;;10m;;;Updated Oct 2023;;;;;LinkedIn;;From the course: Data Storytelling Basics;;;;
Power Apps: Building Data-Driven Apps;Course;;;Show more options for Power Apps: Building Data-Driven Apps;;;Save;;;2h 1m;;Intermediate;;;Mar 2020;;;;LinkedIn;;By: Phil Gold;;;
Excel: Data Storytelling for Beginners;Course;Popular;;;Show more options for Excel: Data Storytelling for Beginners;;;Save;;;34m;;;;Intermediate;Jan 2024;;;;LinkedIn;;;By: Jordan Goldmeier;
Complete Guide to Power BI for Data Analysts by Microsoft Press;Course;Popular;;;Show more options for Complete Guide to Power BI for Data Analysts by Microsoft Press;;;Save;;;7h 14m;;;;Beginner + Intermediate;Feb 2024;;;;LinkedIn;;;By: Microsoft Press and Chris Sorensen;
Top 10 Skills for BI Developers;Course;;;Show more options for Top 10 Skills for BI Developers;;;Save;;;25m;;Beginner;;;Aug 2022;;;;LinkedIn;;By: Ben Sullins and Free the Data Academy;;;
Sales: Analytics-Driven Storytelling;Course;;;Show more options for Sales: Analytics-Driven Storytelling;;;Save;;;48m;;Advanced;;;Apr 2022;;;;LinkedIn;;By: Mark Donnolo;;;
Power BI Data Visualization and Dashboard Tips, Tricks, & Techniques;Course;Popular;;;"Show more options for Power BI Data Visualization and Dashboard Tips, Tricks, &amp;amp; Techniques";;;Save;;;1h 59m;;;;Beginner + Intermediate;Mar 2021;;;;LinkedIn;;;By: Emma Saunders;
Learning Power BI Desktop;Course;Popular;;;Show more options for Learning Power BI Desktop;;;Save;;;2h 54m;;;;Beginner;Apr 2022;;;;LinkedIn;;;By: Gini von Courter;
Power Apps: Building Data-Driven Apps with Excel;Course;Popular;;;Show more options for Power Apps: Building Data-Driven Apps with Excel;;;Save;;;1h 54m;;;;Intermediate;Apr 2023;;;;LinkedIn;;;By: Phil Gold;
Who makes a good storyteller;Audio;;;Show more options for Who makes a good storyteller;;;Save;;;5m 31s;;;Updated Oct 2023;;;;;LinkedIn;;From the course: Data Storytelling Basics;;;;
What is real-time analytics?;Audio;;;Show more options for What is real-time analytics?;;;Save;;;6m 19s;;;Updated Oct 2023;;;;;LinkedIn;;From the course: Hiring a Chief Data Officer;;;;
Microsoft Power Automate: Advanced Business Automation;Course;;;Show more options for Microsoft Power Automate: Advanced Business Automation;;;Save;;;1h 7m;;Intermediate;;;Aug 2022;;;;LinkedIn;;By: Phil Gold;;;
Microsoft Power Automate: Business Process Flows;Course;;;Show more options for Microsoft Power Automate: Business Process Flows;;;Save;;;1h 25m;;Intermediate;;;Mar 2021;;;;LinkedIn;;By: Phil Gold;;;
Picking the Right Metrics;Course;;;Show more options for Picking the Right Metrics;;;Save;;;50m;;General;;;Dec 2021;;;;LinkedIn;;By: Free the Data Podcast and Ben Sullins;;;
How Cole started storytelling with data;Audio;;;Show more options for How Cole started storytelling with data;;;Save;;;2m 24s;;;Updated Oct 2023;;;;;LinkedIn;;From the course: Data Storytelling Basics;;;;
SEO: Competitive Analysis;Course;;;Show more options for SEO: Competitive Analysis;;;Save;;;1h 28m;;Intermediate;;;Feb 2021;;;;LinkedIn;;By: Anson Alexander;;;
Building data products at Airbnb;Audio;;;Show more options for Building data products at Airbnb;;;Save;;;3m 23s;;;Updated Oct 2023;;;;;LinkedIn;;From the course: Picking the Right Metrics;;;;
Defining a good graph;Audio;;;Show more options for Defining a good graph;;;Save;;;58s;;;Updated Oct 2023;;;;;LinkedIn;;From the course: Data Storytelling Basics;;;;
Learning SAP Analytics Cloud;Course;;;Show more options for Learning SAP Analytics Cloud;;;Save;;;42m;;Beginner;;;Jun 2019;;;;LinkedIn;;By: Joshua Rischin;;;
Data Analytics for Pricing Analysts in Excel;Course;;;Show more options for Data Analytics for Pricing Analysts in Excel;;;Save;;;2h 4m;;Advanced;;;Oct 2023;;;;LinkedIn;;By: Michael McDonald;;;
How to Build and Execute a Successful Data Strategy;Course;;;Show more options for How to Build and Execute a Successful Data Strategy;;;Save;;;2h 15m;;Intermediate;;;4 months ago;;;;LinkedIn;;By: Leon Gordon;;;
Microsoft Power Automate Essential Training;Course;Popular;;;Show more options for Microsoft Power Automate Essential Training;;;Save;;;2h 17m;;;;Beginner;Sep 2022;;;;LinkedIn;;;By: Bill Kulterman;
Picking the Right Chart for Your Data;Course;Popular;;;Show more options for Picking the Right Chart for Your Data;;;Save;;;1h 21m;;;;Beginner;Updated Apr 2024;;;;LinkedIn;;;By: Bill Shander;
Explore a Career as a Power BI Specialist;Learning Path;;;Show more options for Explore a Career as a Power BI Specialist;;;Save;;;18h;;;Updated 1 month ago;;;;;LinkedIn;;;;;;
Power Automate Quick Tips;Course;;;Show more options for Power Automate Quick Tips;;;Save;;;27m;;Intermediate;;;Oct 2021;;;;LinkedIn;;By: Phil Gold;;;
Learning Power Automate Desktop for Non-Developers;Course;;;Show more options for Learning Power Automate Desktop for Non-Developers;;;Save;;;1h 30m;;Beginner + Intermediate;;;Feb 2023;;;;LinkedIn;;By: Gregor Maric;;;
What's next for storytelling with data?;Audio;;;"Show more options for What&amp;#39;s next for storytelling with data?";;;Save;;;3m 53s;;;Updated Oct 2023;;;;;LinkedIn;;From the course: Data Storytelling Basics;;;;
Power BI and BIM: Analysis and Visualization;Course;Popular;;;Show more options for Power BI and BIM: Analysis and Visualization;;;Save;;;2h 29m;;;;Intermediate;Nov 2020;;;;LinkedIn;;;By: Brian Myers;
Advanced Power BI: DAX Language, Formulas, and Calculations;Course;Popular;;;Show more options for Advanced Power BI: DAX Language, Formulas, and Calculations;;;Save;;;3h 3m;;;;Advanced;Oct 2022;;;;LinkedIn;;;By: Helen Wall;
Using natural human behavior to your advantage;Audio;;;Show more options for Using natural human behavior to your advantage;;;Save;;;2m 33s;;;Updated Oct 2023;;;;;LinkedIn;;From the course: Data Storytelling Basics;;;;
Learning Data Science: Tell Stories With Data;Course;;;Show more options for Learning Data Science: Tell Stories With Data;;;Save;;;1h 17m;;General;;;Feb 2017;;;;LinkedIn;;By: Doug Rose;;;
The instructor's background;Audio;;;"Show more options for The instructor&amp;#39;s background";;;Save;;;1m 29s;;;Updated Oct 2023;;;;;LinkedIn;;From the course: Hiring a Chief Data Officer;;;;
Power Automate Desktop: Beyond the Basics;Course;;;Show more options for Power Automate Desktop: Beyond the Basics;;;Save;;;2h 22m;;Intermediate;;;Mar 2024;;;;LinkedIn;;By: Gregor Maric;;;
Data Analytics with Google Cloud BigQuery and Looker Studio;Course;;;Show more options for Data Analytics with Google Cloud BigQuery and Looker Studio;;;Save;;;1h 5m;;Intermediate;;;May 2023;;;;LinkedIn;;By: Yoyu Li;;;
Power BI Data Methods;Course;Popular;;;Show more options for Power BI Data Methods;;;Save;;;3h 12m;;;;Advanced;Mar 2024;;;;LinkedIn;;;By: Helen Wall;
Power BI Challenges: 15 Skills-Building Analytics Exercises for Data Professionals;Course;;;Show more options for Power BI Challenges: 15 Skills-Building Analytics Exercises for Data Professionals;;;Save;;;2h 3m;;Intermediate;;;Nov 2023;;;;LinkedIn;;By: Emma Saunders;;;
What tools should you know;Audio;;;Show more options for What tools should you know;;;Save;;;4m 25s;;;Updated Oct 2023;;;;;LinkedIn;;From the course: Data Storytelling Basics;;;;
How to chart your career path in data;Audio;;;Show more options for How to chart your career path in data;;;Save;;;6m 49s;;;Updated Sep 2023;;;;;LinkedIn;;From the course: Picking the Right Metrics;;;;
Transitioning to analytics from project management;Audio;;;Show more options for Transitioning to analytics from project management;;;Save;;;4m 23s;;;Updated Oct 2023;;;;;LinkedIn;;From the course: Picking the Right Metrics;;;;
What storytelling can do for your career;Audio;;;Show more options for What storytelling can do for your career;;;Save;;;2m 14s;;;Updated Oct 2023;;;;;LinkedIn;;From the course: Data Storytelling Basics;;;;
How to reach the instructor;Audio;;;Show more options for How to reach the instructor;;;Save;;;1m 1s;;;Updated Oct 2023;;;;;LinkedIn;;From the course: Hiring a Chief Data Officer;;;;
What does a chief data officer do?;Audio;;;Show more options for What does a chief data officer do?;;;Save;;;2m 55s;;;Updated Sep 2023;;;;;LinkedIn;;From the course: Hiring a Chief Data Officer;;;;
SAP ERP Essential Training;Course;Popular;;;Show more options for SAP ERP Essential Training;;;Save;;;1h 31m;;;;Beginner;Nov 2020;;;;LinkedIn;;;By: Justin Valley;
Telling Stories with Data;Course;;;Show more options for Telling Stories with Data;;;Save;;;15m;;Intermediate;;;Jan 2019;;;;LinkedIn;;By: Paul A. Smith;;;
Power BI Quick Tips;Course;Popular;;;Show more options for Power BI Quick Tips;;;Save;;;35m;;;;General;Updated Dec 2023;;;;LinkedIn;;;By: Heather Severino;
Data Storytelling Basics;Course;Popular;;;Show more options for Data Storytelling Basics;;;Save;;;1h 6m;;;;General;May 2022;;;;LinkedIn;;;By: Free the Data Podcast and Ben Sullins;
How to version control your metric definitions;Audio;;;Show more options for How to version control your metric definitions;;;Save;;;3m 29s;;;Updated Oct 2023;;;;;LinkedIn;;From the course: Picking the Right Metrics;;;;
Data visualization guiding principles;Audio;;;Show more options for Data visualization guiding principles;;;Save;;;4m 52s;;;Updated Oct 2023;;;;;LinkedIn;;From the course: Data Storytelling Basics;;;;
How to succeed as a chief data officer;Audio;;;Show more options for How to succeed as a chief data officer;;;Save;;;3m 29s;;;Updated Oct 2023;;;;;LinkedIn;;From the course: Hiring a Chief Data Officer;;;;
Storytelling guiding principles;Audio;;;Show more options for Storytelling guiding principles;;;Save;;;7m 32s;;;Updated Oct 2023;;;;;LinkedIn;;From the course: Data Storytelling Basics;;;;
Developing big data tools at Facebook;Audio;;;Show more options for Developing big data tools at Facebook;;;Save;;;3m 40s;;;Updated Sep 2023;;;;;LinkedIn;;From the course: Picking the Right Metrics;;;;
Where Transform's platform fits in modern data architecture;Audio;;;"Show more options for Where Transform&amp;#39;s platform fits in modern data architecture";;;Save;;;1m 41s;;;Updated Oct 2023;;;;;LinkedIn;;From the course: Picking the Right Metrics;;;;
How to measure efficacy in data visualization;Audio;;;Show more options for How to measure efficacy in data visualization;;;Save;;;1m 51s;;;Updated Oct 2023;;;;;LinkedIn;;From the course: Data Storytelling Basics;;;;
The Most Important Content KPIs for Creators;Course;;;Show more options for The Most Important Content KPIs for Creators;;;Save;;;34m;;Beginner;;;Jul 2021;;;;LinkedIn;;By: CreatorUp and Mitchel Dumlao;;;
Power BI: Working Together with Microsoft 365 Apps;Course;;;Show more options for Power BI: Working Together with Microsoft 365 Apps;;;Save;;;31m;;Intermediate;;;Jan 2024;;;;LinkedIn;;By: Joshua Rischin;;;
Microsoft Power Apps Essential Training: Beyond the Basics;Course;;;Show more options for Microsoft Power Apps Essential Training: Beyond the Basics;;;Save;;;2h 28m;;Intermediate;;;Sep 2020;;;;LinkedIn;;By: Bill Kulterman;;;
Data warehouse alternatives;Audio;;;Show more options for Data warehouse alternatives;;;Save;;;3m 24s;;;Updated Oct 2023;;;;;LinkedIn;;From the course: Hiring a Chief Data Officer;;;;
Links for the instructor;Audio;;;Show more options for Links for the instructor;;;Save;;;47s;;;Updated Sep 2023;;;;;LinkedIn;;From the course: Picking the Right Metrics;;;;
Power BI: Integrating AI and Machine Learning;Course;Popular;;;Show more options for Power BI: Integrating AI and Machine Learning;;;Save;;;3h 58m;;;;Intermediate;Aug 2021;;;;LinkedIn;;;By: Helen Wall;
Power BI Top Skills;Course;Popular;;;Show more options for Power BI Top Skills;;;Save;;;1h 1m;;;;Intermediate;Feb 2022;;;;LinkedIn;;;By: John David Ariansen and Madecraft;
Why metrics should be the focus;Audio;;;Show more options for Why metrics should be the focus;;;Save;;;10m;;;Updated Oct 2023;;;;;LinkedIn;;From the course: Picking the Right Metrics;;;;
Power BI: Working Together with ChatGPT;Course;Popular;;;Show more options for Power BI: Working Together with ChatGPT;;;Save;;;48m;;;;Intermediate;Dec 2023;;;;LinkedIn;;;By: Joshua Rischin;
Data Storytelling Mistakes to Avoid;Course;;;Show more options for Data Storytelling Mistakes to Avoid;;;Save;;;26m;;General;;;3 months ago;;;;LinkedIn;;By: Madecraft and Rebeca Pop;;;
Power BI Weekly;Course;Updated;Popular;;;Show more options for Power BI Weekly;;;Save;;;;;13h;;Intermediate;Updated 5 days ago;;;;;LinkedIn;;By: Helen Wall
How to deal with data silos;Audio;;;Show more options for How to deal with data silos;;;Save;;;9m 52s;;;Updated Oct 2023;;;;;LinkedIn;;From the course: Hiring a Chief Data Officer;;;;
Business Automation Tips with Microsoft Flow;Course;;;Show more options for Business Automation Tips with Microsoft Flow;;;Save;;;44m;;Intermediate;;;Mar 2019;;;;LinkedIn;;By: Phil Gold;;;
What is data warehousing?;Audio;;;Show more options for What is data warehousing?;;;Save;;;16m;;;Updated Oct 2023;;;;;LinkedIn;;From the course: Hiring a Chief Data Officer;;;;
Chief data officer, step 2: Develop a strategy;Audio;;;Show more options for Chief data officer, step 2: Develop a strategy;;;Save;;;1m 47s;;;Updated Oct 2023;;;;;LinkedIn;;From the course: Hiring a Chief Data Officer;;;;
Building data tools at Facebook;Audio;;;Show more options for Building data tools at Facebook;;;Save;;;1m 42s;;;Updated Oct 2023;;;;;LinkedIn;;From the course: Picking the Right Metrics;;;;
Microsoft Power Apps Essential Training: The Basics;Course;Popular;;;Show more options for Microsoft Power Apps Essential Training: The Basics;;;Save;;;1h 33m;;;;Beginner;Jun 2022;;;;LinkedIn;;;By: Gini von Courter;
Chief data officer, step 1: Learn;Audio;;;Show more options for Chief data officer, step 1: Learn;;;Save;;;1m 30s;;;Updated Oct 2023;;;;;LinkedIn;;From the course: Hiring a Chief Data Officer;;;;
How to visualize the key metrics using Transform;Audio;;;Show more options for How to visualize the key metrics using Transform;;;Save;;;1m 28s;;;Updated Oct 2023;;;;;LinkedIn;;From the course: Picking the Right Metrics;;;;
Project Online Reporting with Power BI;Course;;;Show more options for Project Online Reporting with Power BI;;;Save;;;1h 33m;;Intermediate;;;Jan 2020;;;;LinkedIn;;By: John Riopel;;;
Integrate Microsoft Graph in Your Applications;Course;;;Show more options for Integrate Microsoft Graph in Your Applications;;;Save;;;1h 51m;;Intermediate;;;Feb 2024;;;;LinkedIn;;By: Sahil Malik;;;
Microsoft Project for the Web: Reporting with Power BI;Course;Popular;;;Show more options for Microsoft Project for the Web: Reporting with Power BI;;;Save;;;1h 39m;;;;Intermediate;Jun 2022;;;;LinkedIn;;;By: John Riopel;
Looker Studio for Marketers;Course;;;Show more options for Looker Studio for Marketers;;;Save;;;1h 16m;;Beginner;;;Apr 2023;;;;LinkedIn;;By: Samantha Barnes;;;
How do you define data science?;Audio;;;Show more options for How do you define data science?;;;Save;;;1m 38s;;;Updated Oct 2023;;;;;LinkedIn;;From the course: Hiring a Chief Data Officer;;;;
ChatGPT and Power BI;Course;Popular;;;Show more options for ChatGPT and Power BI;;;Save;;;1h 56m;;;;Intermediate;4 months ago;;;;LinkedIn;;;By: Maven Analytics and Aaron Parry;
Become a Data Analyst;Learning Path;;;Show more options for Become a Data Analyst;;;Save;;;44h;;;Updated 3 weeks ago;;;;;LinkedIn;;;;;;
Working at Facebook in the early days;Audio;;;Show more options for Working at Facebook in the early days;;;Save;;;12m;;;Updated Oct 2023;;;;;LinkedIn;;From the course: Picking the Right Metrics;;;;
Time Series Modeling in Excel, R, and Power BI;Course;;;Show more options for Time Series Modeling in Excel, R, and Power BI;;;Save;;;2h;;Advanced;;;Mar 2023;;;;LinkedIn;;By: Helen Wall;;;
Cole's entrepreneurial journey;Audio;;;"Show more options for Cole&amp;#39;s entrepreneurial journey";;;Save;;;5m 31s;;;Updated Oct 2023;;;;;LinkedIn;;From the course: Data Storytelling Basics;;;;
Using Power BI with Excel;Course;Popular;;;Show more options for Using Power BI with Excel;;;Save;;;48m;;;;Intermediate;Feb 2022;;;;LinkedIn;;;By: John David Ariansen and Madecraft;
Tips for consuming data visualizations;Audio;;;Show more options for Tips for consuming data visualizations;;;Save;;;4m 24s;;;Updated Oct 2023;;;;;LinkedIn;;From the course: Data Storytelling Basics;;;;
Microsoft PowerApps: Using the Common Data Service;Course;;;Show more options for Microsoft PowerApps: Using the Common Data Service;;;Save;;;1h 23m;;Intermediate;;;Mar 2019;;;;LinkedIn;;By: Gini von Courter;;;
Learning Microsoft Power Apps;Course;;;Show more options for Learning Microsoft Power Apps;;;Save;;;59m;;Beginner;;;May 2022;;;;LinkedIn;;By: Gini von Courter;;;
