0;12;15;18;37;41;45;47;51;55;65;70;72;73;75;77;82;87;88;92;97;101;102;106;111
Risk management vs. data governance;Audio;;;Show more options for Risk management vs. data governance;;;Save;;;4m 48s;;;Updated Sep 2023;;;;;LinkedIn;;From the course: Hiring a Chief Data Officer;;;;
Data governance council vs. center of excellence;Audio;;;Show more options for Data governance council vs. center of excellence;;;Save;;;5m 15s;;;Updated Oct 2023;;;;;LinkedIn;;From the course: Hiring a Chief Data Officer;;;;
How to enable innovation and avoid catastrophe;Audio;;;Show more options for How to enable innovation and avoid catastrophe;;;Save;;;2m 58s;;;Updated Oct 2023;;;;;LinkedIn;;From the course: Hiring a Chief Data Officer;;;;
Exploratory versus explanatory;Audio;;;Show more options for Exploratory versus explanatory;;;Save;;;3m 12s;;;Updated Oct 2023;;;;;LinkedIn;;From the course: Data Storytelling Basics;;;;
SAP S/4HANA Essential Training;Course;Popular;;;Show more options for SAP S/4HANA Essential Training;;;Save;;;1h 34m;;;;Beginner + Intermediate;3 months ago;;;;LinkedIn;;;By: Justin Valley;
SAP SuccessFactors Performance and Goals Management;Course;;;Show more options for SAP SuccessFactors Performance and Goals Management;;;Save;;;1h 41m;;Intermediate;;;May 2021;;;;LinkedIn;;By: Michael Management;;;
Who authorizes changes to data structures?;Audio;;;Show more options for Who authorizes changes to data structures?;;;Save;;;2m 43s;;;Updated Sep 2023;;;;;LinkedIn;;From the course: Hiring a Chief Data Officer;;;;
SAP BI/BW: Project Design and Implementation;Course;;;Show more options for SAP BI/BW: Project Design and Implementation;;;Save;;;3h 16m;;Intermediate;;;May 2020;;;;LinkedIn;;By: Michael Management;;;
Learning Power Automate Desktop for Developers;Course;;;Show more options for Learning Power Automate Desktop for Developers;;;Save;;;1h 45m;;Intermediate;;;Feb 2023;;;;LinkedIn;;By: Anders Jensen;;;
Machine Learning with Logistic Regression in Excel, R, and Power BI;Course;;;Show more options for Machine Learning with Logistic Regression in Excel, R, and Power BI;;;Save;;;2h 49m;;Intermediate;;;Nov 2021;;;;LinkedIn;;By: Helen Wall;;;
Nano Tips for Data Storytelling and Visualization with Lachezar Arabadzhiev;Course;;;Show more options for Nano Tips for Data Storytelling and Visualization with Lachezar Arabadzhiev;;;Save;;;10m;;General;;;Feb 2023;;;;LinkedIn;;By: Lachezar Arabadzhiev;;;
SAP ABAP Programming Best Practices;Course;;;Show more options for SAP ABAP Programming Best Practices;;;Save;;;1h 20m;;Beginner;;;Jun 2021;;;;LinkedIn;;By: Michael Management;;;
Microsoft Power Apps: AI Builder;Course;;;Show more options for Microsoft Power Apps: AI Builder;;;Save;;;1h 16m;;Advanced;;;Jul 2020;;;;LinkedIn;;By: Gini von Courter;;;
Analyzing Sales Competitors;Course;;;Show more options for Analyzing Sales Competitors;;;Save;;;29m;;Intermediate;;;Updated Mar 2023;;;;LinkedIn;;By: Jeff Bloomfield;;;
Using APIs to improve data quality;Audio;;;Show more options for Using APIs to improve data quality;;;Save;;;3m 7s;;;Updated Oct 2023;;;;;LinkedIn;;From the course: Hiring a Chief Data Officer;;;;
Machine Learning with Data Reduction in Excel, R, and Power BI;Course;;;Show more options for Machine Learning with Data Reduction in Excel, R, and Power BI;;;Save;;;3h 32m;;Intermediate;;;Feb 2022;;;;LinkedIn;;By: Helen Wall;;;
Master the Concepts of Data Visualization and Storytelling;Learning Path;;;Show more options for Master the Concepts of Data Visualization and Storytelling;;;Save;;;13h;;;Updated Apr 2024;;;;;LinkedIn;;;;;;
Microsoft Power Platform Foundations;Course;;;Show more options for Microsoft Power Platform Foundations;;;Save;;;1h 25m;;Beginner;;;Aug 2021;;;;LinkedIn;;By: Gini von Courter;;;
Introduction to SAP BI/BW;Course;;;Show more options for Introduction to SAP BI/BW;;;Save;;;1h 18m;;Intermediate;;;May 2020;;;;LinkedIn;;By: Michael Management;;;
Microsoft Power Platform Fundamentals (PL-900) Cert Prep: Power Automate;Course;;;Show more options for Microsoft Power Platform Fundamentals (PL-900) Cert Prep: Power Automate;;;Save;;;2h 53m;;Beginner;;;May 2023;;;;LinkedIn;;By: Elaiza Benitez;;;
Microsoft Power Apps: Using the Dataverse (Formerly the Common Data Service);Course;;;Show more options for Microsoft Power Apps: Using the Dataverse (Formerly the Common Data Service);;;Save;;;1h 4m;;Intermediate;;;May 2021;;;;LinkedIn;;By: Gini von Courter;;;
Microsoft Teams Integration with Project for the web and Power BI;Course;;;Show more options for Microsoft Teams Integration with Project for the web and Power BI;;;Save;;;1h 16m;;Intermediate;;;Jun 2023;;;;LinkedIn;;By: John Riopel;;;
Learning SAP Human Capital Management;Course;Popular;;;Show more options for Learning SAP Human Capital Management;;;Save;;;1h 4m;;;;Beginner + Intermediate;Aug 2023;;;;LinkedIn;;;By: Justin Valley;
Practice Exam 1 for Power BI Data Analyst Associate (PL-300);Course;;;Show more options for Practice Exam 1 for Power BI Data Analyst Associate (PL-300);;;Save;;;4m 12s;;Intermediate;;;May 2024;;;;LinkedIn;;By: Total Seminars;;;
Microsoft Cybersecurity Architect (SC-100) Cert Prep: 4 Design a Strategy for Data and Applications by Microsoft Press;Course;;;Show more options for Microsoft Cybersecurity Architect (SC-100) Cert Prep: 4 Design a Strategy for Data and Applications by Microsoft Press;;;Save;;;10m;;Advanced;;;Updated May 2024;;;;LinkedIn;;By: Microsoft Press and Charles Pluta;;;
Defining and Segmenting Competition;Course;;;Show more options for Defining and Segmenting Competition;;;Save;;;32m;;Beginner;;;Sep 2019;;;;LinkedIn;;By: EntrepreneurNOW;;;
Cert Prep: Power Automate RPA Developer (PL-500);Course;;;Show more options for Cert Prep: Power Automate RPA Developer (PL-500);;;Save;;;3h 13m;;Intermediate;;;May 2024;;;;LinkedIn;;By: Gregor Maric;;;
Microsoft Power Platform Fundamentals (PL-900) Exam Tips;Course;;;Show more options for Microsoft Power Platform Fundamentals (PL-900) Exam Tips;;;Save;;;2h 15m;;Beginner;;;Jan 2023;;;;LinkedIn;;By: April Dunnam;;;
Power BI Data Analyst Associate (PL-300) Cert Prep: Connecting to Power BI Data;Course;Popular;;;Show more options for Power BI Data Analyst Associate (PL-300) Cert Prep: Connecting to Power BI Data;;;Save;;;44m;;;;Intermediate;Updated Apr 2023;;;;LinkedIn;;;By: Joshua Rischin;
Become a Power BI Specialist;Learning Path;;;Show more options for Become a Power BI Specialist;;;Save;;;10h;;;Updated 2 months ago;;;;;LinkedIn;;;;;;
Power BI Data Dashboards;Course;Popular;;;Show more options for Power BI Data Dashboards;;;Save;;;2h 24m;;;;Intermediate;Aug 2023;;;;LinkedIn;;;By: Helen Wall;
Master Microsoft Power BI;Learning Path;;;Show more options for Master Microsoft Power BI;;;Save;;;12h;;;Updated 3 weeks ago;;;;;LinkedIn;;;;;;
Microsoft Power Platform Developer Associate (PL-400) Cert Prep by Microsoft Press;Course;Updated;;;Show more options for Microsoft Power Platform Developer Associate (PL-400) Cert Prep by Microsoft Press;;;Save;;;4h 17m;;;;Intermediate;Updated 3 weeks ago;;;;LinkedIn;;;By: Microsoft Press and Rachel Palya;
Power BI Mistakes to Avoid;Course;;;Show more options for Power BI Mistakes to Avoid;;;Save;;;59m;;Intermediate;;;Feb 2022;;;;LinkedIn;;By: John David Ariansen and Madecraft;;;
Features and Functions in SAP Materials Planning;Course;;;Show more options for Features and Functions in SAP Materials Planning;;;Save;;;1h 35m;;Intermediate;;;Feb 2022;;;;LinkedIn;;By: Michael Management;;;
Practice Exam 2 for Power BI Data Analyst Associate (PL-300);Course;;;Show more options for Practice Exam 2 for Power BI Data Analyst Associate (PL-300);;;Save;;;4m 12s;;Intermediate;;;May 2024;;;;LinkedIn;;By: Total Seminars;;;
Microsoft Power Pages Essential Training;Course;;;Show more options for Microsoft Power Pages Essential Training;;;Save;;;1h 21m;;General;;;Jan 2024;;;;LinkedIn;;By: Gini von Courter;;;
Microsoft Dynamics 365 and the Power Platform;Course;;;Show more options for Microsoft Dynamics 365 and the Power Platform;;;Save;;;1h 56m;;Intermediate;;;Apr 2019;;;;LinkedIn;;By: Gini von Courter;;;
Practice Exam 4 for Power BI Data Analyst Associate (PL-300);Course;;;Show more options for Practice Exam 4 for Power BI Data Analyst Associate (PL-300);;;Save;;;4m 12s;;Intermediate;;;May 2024;;;;LinkedIn;;By: Total Seminars;;;
Google Cloud Professional Cloud Architect Cert Prep: 4 Analyzing and Optimizing Technical and Business Processes;Course;;;Show more options for Google Cloud Professional Cloud Architect Cert Prep: 4 Analyzing and Optimizing Technical and Business Processes;;;Save;;;50m;;Advanced;;;May 2023;;;;LinkedIn;;By: Noah Gift;;;
Planning Basics in SAP;Course;;;Show more options for Planning Basics in SAP;;;Save;;;1h 17m;;Intermediate;;;May 2021;;;;LinkedIn;;By: Michael Management;;;
Power BI Data Analyst (PL-300) Associate Cert Prep: Manage Workspaces on Power BI;Course;;;Show more options for Power BI Data Analyst (PL-300) Associate Cert Prep: Manage Workspaces on Power BI;;;Save;;;51m;;Intermediate;;;Jun 2023;;;;LinkedIn;;By: Joshua Rischin;;;
Practice Exam 1 for Microsoft Power Platform Fundamentals (PL-900);Course;;;Show more options for Practice Exam 1 for Microsoft Power Platform Fundamentals (PL-900);;;Save;;;4m 12s;;Beginner;;;4 months ago;;;;LinkedIn;;By: Total Seminars;;;
Getting Started with Power BI;Course;New;;;Show more options for Getting Started with Power BI;;;Save;;;1h 40m;;;;Beginner;1 week ago;;;;LinkedIn;;;By: Gini von Courter;
Microsoft Power Platform Fundamentals (PL-900) Cert Prep: Power Apps;Course;;;Show more options for Microsoft Power Platform Fundamentals (PL-900) Cert Prep: Power Apps;;;Save;;;1h 18m;;Beginner;;;Feb 2023;;;;LinkedIn;;By: Lisa Crosbie;;;
Practice Exam 3 for Power BI Data Analyst Associate (PL-300);Course;;;Show more options for Practice Exam 3 for Power BI Data Analyst Associate (PL-300);;;Save;;;4m 12s;;Intermediate;;;May 2024;;;;LinkedIn;;By: Total Seminars;;;
Hiring a Chief Data Officer;Course;;;Show more options for Hiring a Chief Data Officer;;;Save;;;1h 9m;;General;;;Dec 2021;;;;LinkedIn;;By: Free the Data Podcast and Ben Sullins;;;
Build SAP Integration with Node-RED;Course;;;Show more options for Build SAP Integration with Node-RED;;;Save;;;39m;;Intermediate;;;Nov 2022;;;;LinkedIn;;By: Michael Management;;;
SAP Accounts Payable Boot Camp;Course;;;Show more options for SAP Accounts Payable Boot Camp;;;Save;;;1h 50m;;Intermediate;;;Jul 2019;;;;LinkedIn;;By: Michael Management;;;
Power BI Data Analyst Associate (PL-300) Cert Prep: Designing and Developing a Power BI Data Model;Course;;;Show more options for Power BI Data Analyst Associate (PL-300) Cert Prep: Designing and Developing a Power BI Data Model;;;Save;;;1h 25m;;Intermediate;;;Jul 2023;;;;LinkedIn;;By: Emilio Melo;;;
Introduction to SuccessFactors Foundation Module;Course;;;Show more options for Introduction to SuccessFactors Foundation Module;;;Save;;;4h 56m;;Intermediate;;;Jun 2019;;;;LinkedIn;;By: Michael Management;;;
Advanced Power BI Custom Visuals with d3.js;Course;;;Show more options for Advanced Power BI Custom Visuals with d3.js;;;Save;;;3h 38m;;Advanced;;;May 2021;;;;LinkedIn;;By: Emma Saunders;;;
Microsoft Power Platform Fundamentals (PL-900) Cert Prep: 1 The Business Value of Power Platform by Microsoft Press;Course;Updated;;;Show more options for Microsoft Power Platform Fundamentals (PL-900) Cert Prep: 1 The Business Value of Power Platform by Microsoft Press;;;Save;;;1h 17m;;;;Beginner;Updated 1 month ago;;;;LinkedIn;;;By: Microsoft Press and Craig Zacker;
SAP Accounts Receivable Boot Camp;Course;;;Show more options for SAP Accounts Receivable Boot Camp;;;Save;;;1h 11m;;Intermediate;;;Jun 2019;;;;LinkedIn;;By: Michael Management;;;
SAP Business Rule Framework (BRF+) Introduction;Course;;;Show more options for SAP Business Rule Framework (BRF+) Introduction;;;Save;;;56m;;Beginner;;;Jun 2021;;;;LinkedIn;;By: Michael Management;;;
Microsoft Power Platform Developer Associate (PL-400) Cert Prep;Course;;;Show more options for Microsoft Power Platform Developer Associate (PL-400) Cert Prep;;;Save;;;2h 46m;;Intermediate;;;Oct 2023;;;;LinkedIn;;By: Keith Atherton;;;
Practice Exam 2 for Microsoft Power Platform Fundamentals (PL-900);Course;;;Show more options for Practice Exam 2 for Microsoft Power Platform Fundamentals (PL-900);;;Save;;;4m 12s;;Beginner;;;4 months ago;;;;LinkedIn;;By: Total Seminars;;;
Practice Exam 3 for Microsoft Power Platform Fundamentals (PL-900);Course;;;Show more options for Practice Exam 3 for Microsoft Power Platform Fundamentals (PL-900);;;Save;;;4m 12s;;Beginner;;;4 months ago;;;;LinkedIn;;By: Total Seminars;;;
Practice Exam 4 for Microsoft Power Platform Fundamentals (PL-900);Course;;;Show more options for Practice Exam 4 for Microsoft Power Platform Fundamentals (PL-900);;;Save;;;4m 12s;;Beginner;;;4 months ago;;;;LinkedIn;;By: Total Seminars;;;
Microsoft Power Platform Fundamentals (PL-900) Cert Prep: 5 Power Automate by Microsoft Press;Course;Updated;;;Show more options for Microsoft Power Platform Fundamentals (PL-900) Cert Prep: 5 Power Automate by Microsoft Press;;;Save;;;1h 3m;;;;Beginner;Updated 1 month ago;;;;LinkedIn;;;By: Microsoft Press and Craig Zacker;
Power BI Dataflows Essential Training;Course;;;Show more options for Power BI Dataflows Essential Training;;;Save;;;1h 28m;;Intermediate;;;Mar 2020;;;;LinkedIn;;By: Helen Wall;;;
Microsoft Power Platform Fundamentals (PL-900) Cert Prep: Power Virtual Agents;Course;;;Show more options for Microsoft Power Platform Fundamentals (PL-900) Cert Prep: Power Virtual Agents;;;Save;;;39m;;Beginner;;;Sep 2022;;;;LinkedIn;;By: Rishona Elijah;;;
Microsoft Power Platform Fundamentals (PL-900) Cert Prep: 3 Power BI by Microsoft Press;Course;Updated;;;Show more options for Microsoft Power Platform Fundamentals (PL-900) Cert Prep: 3 Power BI by Microsoft Press;;;Save;;;1h 13m;;;;Beginner;Updated 1 month ago;;;;LinkedIn;;;By: Microsoft Press and Craig Zacker;
Master Dashboards and Data Viz in Power BI;Learning Path;;;Show more options for Master Dashboards and Data Viz in Power BI;;;Save;;;12h;;;Updated 3 weeks ago;;;;;LinkedIn;;;;;;
Microsoft Power Platform Functional Consultant Associate (PL-200) Cert Prep;Course;;;Show more options for Microsoft Power Platform Functional Consultant Associate (PL-200) Cert Prep;;;Save;;;2h 16m;;Intermediate;;;Jul 2023;;;;LinkedIn;;By: Rishona Elijah;;;
ABAP for SAP Users;Course;;;Show more options for ABAP for SAP Users;;;Save;;;1h 16m;;Intermediate;;;Nov 2019;;;;LinkedIn;;By: Michael Management;;;
Power BI Data Analyst Associate (PL-300) Cert Prep: Managing Datasets in Power BI;Course;;;Show more options for Power BI Data Analyst Associate (PL-300) Cert Prep: Managing Datasets in Power BI;;;Save;;;1h 17m;;Intermediate;;;May 2023;;;;LinkedIn;;By: Emilio Melo;;;
Microsoft Power Platform Fundamentals (PL-900) Cert Prep: Core Components;Course;;;Show more options for Microsoft Power Platform Fundamentals (PL-900) Cert Prep: Core Components;;;Save;;;53m;;Beginner;;;Oct 2022;;;;LinkedIn;;By: Julie Yack;;;
Learning SAP Sales and Distribution (SD Module);Course;;;Show more options for Learning SAP Sales and Distribution (SD Module);;;Save;;;1h 19m;;Intermediate;;;May 2022;;;;LinkedIn;;By: Justin Valley;;;
Google Cloud Professional Machine Learning Engineer Cert Prep: 3 Designing Data Preparation and Processing Systems;Course;;;Show more options for Google Cloud Professional Machine Learning Engineer Cert Prep: 3 Designing Data Preparation and Processing Systems;;;Save;;;1h;;Advanced;;;Jun 2023;;;;LinkedIn;;By: Noah Gift;;;
SAP BPC Embedded Fundamentals for Planning Applications;Course;;;Show more options for SAP BPC Embedded Fundamentals for Planning Applications;;;Save;;;2h 55m;;Beginner;;;Jun 2021;;;;LinkedIn;;By: Michael Management;;;
Microsoft Power Platform Fundamentals (PL-900) Cert Prep: Power BI;Course;;;Show more options for Microsoft Power Platform Fundamentals (PL-900) Cert Prep: Power BI;;;Save;;;1h 14m;;Beginner;;;Jan 2023;;;;LinkedIn;;By: Emilio Melo;;;
SharePoint: Mobilizing Workflows with PowerApps;Course;;;Show more options for SharePoint: Mobilizing Workflows with PowerApps;;;Save;;;52m;;Intermediate;;;Jul 2017;;;;LinkedIn;;By: Gini von Courter;;;
Hands-On SAP Business Rule Framework (BRF+);Course;;;Show more options for Hands-On SAP Business Rule Framework (BRF+);;;Save;;;1h 50m;;Beginner;;;Jul 2021;;;;LinkedIn;;By: Michael Management;;;
Microsoft Power Platform Fundamentals (PL-900) Cert Prep: 4 Power Apps by Microsoft Press;Course;Updated;Popular;;;Show more options for Microsoft Power Platform Fundamentals (PL-900) Cert Prep: 4 Power Apps by Microsoft Press;;;Save;;;;;1h 5m;;Beginner;Updated 1 month ago;;;;;LinkedIn;;By: Microsoft Press and Craig Zacker
Microsoft Power Platform Fundamentals (PL-900) Cert Prep: 2 Core Components by Microsoft Press;Course;Updated;;;Show more options for Microsoft Power Platform Fundamentals (PL-900) Cert Prep: 2 Core Components by Microsoft Press;;;Save;;;36m;;;;Beginner;Updated 1 month ago;;;;LinkedIn;;;By: Microsoft Press and Craig Zacker;
Outro;Audio;;;Show more options for Outro;;;Save;;;29s;;;Updated Oct 2023;;;;;LinkedIn;;From the course: Data Storytelling Basics;;;;
Power BI Data Analyst Associate (PL-300) Cert Prep: Create Model Calculations Using DAX;Course;;;Show more options for Power BI Data Analyst Associate (PL-300) Cert Prep: Create Model Calculations Using DAX;;;Save;;;1h 18m;;Intermediate;;;Oct 2023;;;;LinkedIn;;By: Jermaine McDonald;;;
Material Requirements Planning (MRP) Strategies in SAP;Course;;;Show more options for Material Requirements Planning (MRP) Strategies in SAP;;;Save;;;2h 52m;;Intermediate;;;Jun 2019;;;;LinkedIn;;By: Michael Management;;;
Develop Your IT Service Management (ITSM) Skills;Learning Path;;;Show more options for Develop Your IT Service Management (ITSM) Skills;;;Save;;;5h 17m;;;Updated 2 months ago;;;;;LinkedIn;;;;;;
Microsoft Power Platform App Maker (PL-100) Cert Prep;Course;;;Show more options for Microsoft Power Platform App Maker (PL-100) Cert Prep;;;Save;;;1h 37m;;Intermediate;;;Aug 2023;;;;LinkedIn;;By: Julie Yack;;;
SAP Financials Essential Training;Course;Popular;;;Show more options for SAP Financials Essential Training;;;Save;;;2h 8m;;;;Beginner + Intermediate;Dec 2022;;;;LinkedIn;;;By: Justin Valley;
Master Excel for Data Science;Learning Path;;;Show more options for Master Excel for Data Science;;;Save;;;17h;;;Updated Mar 2024;;;;;LinkedIn;;;;;;
Power BI Data Analyst Associate (PL-300) Cert Prep: Creating Reports in Power BI;Course;;;Show more options for Power BI Data Analyst Associate (PL-300) Cert Prep: Creating Reports in Power BI;;;Save;;;55m;;Intermediate;;;Apr 2023;;;;LinkedIn;;By: Joshua Rischin;;;
Power BI Data Analyst Associate (PL-300) Cert Prep: Advanced Reporting in Power BI;Course;Updated;;;Show more options for Power BI Data Analyst Associate (PL-300) Cert Prep: Advanced Reporting in Power BI;;;Save;;;2h 28m;;;;Intermediate;Updated 2 months ago;;;;LinkedIn;;;By: Emilio Melo;
Microsoft Power Platform Fundamentals (PL-900) Cert Prep: 6 Power Virtual Agents by Microsoft Press;Course;Updated;;;Show more options for Microsoft Power Platform Fundamentals (PL-900) Cert Prep: 6 Power Virtual Agents by Microsoft Press;;;Save;;;45m;;;;Beginner;Updated 1 month ago;;;;LinkedIn;;;By: Microsoft Press and Craig Zacker;
Prepare for the Power Platform Fundamentals (PL-900) Certification from Microsoft Press;Learning Path;;;Show more options for Prepare for the Power Platform Fundamentals (PL-900) Certification from Microsoft Press;;;Save;;;6h 1m;;;Updated 1 month ago;;;;;LinkedIn;;;;;;
Prepare for the Power BI Data Analyst Associate (PL-300) Certification;Learning Path;;;Show more options for Prepare for the Power BI Data Analyst Associate (PL-300) Certification;;;Save;;;10h;;;Updated 2 months ago;;;;;LinkedIn;;;;;;
Prepare for the Microsoft Power Platform Fundamentals (PL-900) Certification;Learning Path;;;Show more options for Prepare for the Microsoft Power Platform Fundamentals (PL-900) Certification;;;Save;;;9h 13m;;;Updated May 2023;;;;;Microsoft;;;;;;
Review and Manage the SAP MRP List;Course;;;Show more options for Review and Manage the SAP MRP List;;;Save;;;23m;;Intermediate;;;Oct 2019;;;;LinkedIn;;By: Michael Management;;;
